appName,link,tags
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting"
Yet Another Zombie Survivors,https://store.steampowered.com/app/2163330/Yet_Another_Zombie_Survivors,"Action Roguelike,RPG,Roguelite,Bullet Hell,Zombies,3D,Horror,Team-Based,Casual,Controller,Isometric,Action,Early Access,Score Attack,Survival,Singleplayer,Dark,Modern,Post-apocalyptic,Cyberpunk"
"Warhammer 40,000: Darktide",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide,"Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
Black Desert,https://store.steampowered.com/app/582660/Black_Desert,"MMORPG,Massively Multiplayer,RPG,Open World,Character Customization,Adventure,Fantasy,Action,Strategy,3D,Atmospheric,Crafting,Medieval,Simulation,Magic,Cooking,Multiplayer,PvP,War,Combat"
Albion Online,https://store.steampowered.com/app/761890/Albion_Online,"Free to Play,MMORPG,Open World,Massively Multiplayer,Sandbox,RPG,Crafting,Multiplayer,PvP,Survival,Loot,PvE,Economy,Medieval,Co-op,Fantasy,Strategy,Action,Singleplayer,Difficult"
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access"
Factorio,https://store.steampowered.com/app/427520/Factorio,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie"
Forts,https://store.steampowered.com/app/410900/Forts,"Base Building,Physics,Multiplayer,Destruction,Building,Strategy,Moddable,Sandbox,Action,2D,Memes,Military,Indie,Level Editor,Funny,Tactical,Singleplayer,Retro,Pixel Graphics,Lemmings"
Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22,"Simulation,Co-op,Farming Sim,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Online Co-Op,Economy,Character Customization,Family Friendly,Open World,Third Person,Nature,Horses,America"
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Singleplayer,Sandbox,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause"
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action"
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim"
Vampyr,https://store.steampowered.com/app/427290/Vampyr,"Vampire,RPG,Choices Matter,Story Rich,Open World,Action,Singleplayer,Atmospheric,Third Person,Horror,Dark Fantasy,Violent,Dark,Gore,Adventure,Sexual Content,Great Soundtrack,Stealth,Souls-like,Nudity"
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING,"Souls-like,Dark Fantasy,RPG,Open World,Difficult,Action RPG,Third Person,Fantasy,Multiplayer,Singleplayer,Online Co-Op,Action,PvP,Co-op,Violent,Atmospheric,Great Soundtrack,3D,Character Customization,Family Friendly"
Killing Floor 2,https://store.steampowered.com/app/232090/Killing_Floor_2,"Zombies,Co-op,Gore,FPS,Multiplayer,Survival,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Indie,Blood"
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2,"Third-Person Shooter,Action Roguelike,Multiplayer,Action,Co-op,Roguelite,Looter Shooter,Roguelike,Loot,Online Co-Op,Shooter,Difficult,Third Person,Indie,Survival,Singleplayer,Great Soundtrack,Soundtrack,Early Access,Bullet Hell"
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man,"Multiplayer,Funny,Physics,Co-op,Comedy,Puzzle Platformer,Casual,Online Co-Op,Party,Colorful,Local Co-Op,Action,Puzzle,Cartoon,Local Multiplayer,Adventure,Memes,Singleplayer,4 Player Local,Sandbox"
Against the Storm,https://store.steampowered.com/app/1336490/Against_the_Storm,"Strategy,Simulation,Base Building,City Builder,Resource Management,Management,Building,Grand Strategy,RTS,Colony Sim,4X,Sandbox,Survival,Singleplayer,Open World,Replay Value,Economy,Historical,Early Access,Moddable"
